 Multipliers and PCE For JEDI PV Model Analysis,,,,,,,"CHANGE THE NUMBERS UNDER THE ""MyCounty"" OR ""MyRegion"" SECTIONS FOR THE DATA YOU HAVE "
,,,,,,,***** DO NOT CHANGE THE STRUCTURE OF THIS TEMPLATE *****
,,,,,,,
Jobs Per Million Dollars Change in Final Demand,,,,Personal Consumption Expenditures (PCE),,,
  Jobs Direct Multipliers,,MyCounty,MyRegion,,MyCounty,MyRegion,
Ag/Forestry/Fish & Hunting,,0,0,,0,0,
Mining,,0,0,,0,0,
Construction,,0,0,,0,0,
Construction/Installations - Non Residential,,0,0,,0,0,
Construction/Installation Residential,,0,0,,0,0,
Manufacturing,,0,0,,0,0,
Fabricated Metals,,0,0,,0,0,
Machinery,,0,0,,0,0,
Electrical Equip,,0,0,,0,0,
Battery Manufacturing,,0,0,,0,0,
Energy Wire Manufacturing,,0,0,,0,0,
Wholesale Trade,,0,0,,0,0,
Retail trade,,0,0,,0,0,
TCPU,,0,0,,0,0,
Insurance and Real Estate,,0,0,,0,0,
Finance,,0,0,,0,0,
Other Professional Services,,0,0,,0,0,
Office Services,,0,0,,0,0,
Architectural and Engineering Services,,0,0,,0,0,
Other services,,0,0,,0,0,
Government,,0,0,,0,0,
Semiconductor (solar cell/module) manufacturing,,0,0,,0,0,
,,,,,,,
Jobs Per Million Dollars Change in Final Demand,,,,,,,
  Jobs Indirect Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Jobs Per Million Dollars Change in Final Demand,,,,,,,
  Jobs Induced Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
  Earnings Direct Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
  Earnings Indirect Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Earnings Per Million Dollars Change in Final Demand,,,,,,,
  Earnings Induced Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Direct Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Indirect Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
,,,,,,,
Output Per Million Dollars Change in Final Demand,,,,,,,
  Output Induced Multipliers,,,,,,,
Ag/Forestry/Fish & Hunting,,0,0,,,,
Mining,,0,0,,,,
Construction,,0,0,,,,
Construction/Installations - Non Residential,,0,0,,,,
Construction/Installation Residential,,0,0,,,,
Manufacturing,,0,0,,,,
Fabricated Metals,,0,0,,,,
Machinery,,0,0,,,,
Electrical Equip,,0,0,,,,
Battery Manufacturing,,0,0,,,,
Energy Wire Manufacturing,,0,0,,,,
Wholesale Trade,,0,0,,,,
Retail trade,,0,0,,,,
TCPU,,0,0,,,,
Insurance and Real Estate,,0,0,,,,
Finance,,0,0,,,,
Other Professional Services,,0,0,,,,
Office Services,,0,0,,,,
Architectural and Engineering Services,,0,0,,,,
Other services,,0,0,,,,
Government,,0,0,,,,
Semiconductor (solar cell/module) manufacturing,,0,0,,,,
